Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 01:00:00,08/07/16 02:00:00,2081
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 01:00:00,08/07/16 02:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,760
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,5357524
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,456571
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,836
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,5108656
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 02:00:00,08/07/16 03:00:00,2013
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,684
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 02:00:00,08/07/16 03:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,304
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,304
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 02:00:00,08/07/16 03:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 02:00:00,08/07/16 03:00:00,439957
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 03:00:00,08/07/16 04:00:00,2042
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,455673
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 03:00:00,08/07/16 04:00:00,107374182400
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 03:00:00,08/07/16 04:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,5263202
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,760
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 03:00:00,08/07/16 04:00:00,760
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,760
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 04:00:00,08/07/16 05:00:00,2024
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,684
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 04:00:00,08/07/16 05:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,5256994
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 04:00:00,08/07/16 05:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,451854
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 04:00:00,08/07/16 05:00:00,304
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 05:00:00,08/07/16 06:00:00,2064
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,451540
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 05:00:00,08/07/16 06:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,5272409
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,684
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 05:00:00,08/07/16 06:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,228
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 05:00:00,08/07/16 06:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 06:00:00,08/07/16 07:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,684
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,228
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 06:00:00,08/07/16 07:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,228
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,465717
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 06:00:00,08/07/16 07:00:00,5345117
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 06:00:00,08/07/16 07:00:00,2030
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 07:00:00,08/07/16 08:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 07:00:00,08/07/16 08:00:00,760
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 07:00:00,08/07/16 08:00:00,836
