sep=;
Time;Tx;Rx
2016-12-08T15:55:00.000Z;31411.755859375;11916.616943359375
2016-12-08T15:55:10.000Z;null;null
2016-12-08T15:55:20.000Z;null;null
2016-12-08T15:55:30.000Z;null;null
2016-12-08T15:55:40.000Z;null;null
2016-12-08T15:55:50.000Z;null;null
2016-12-08T15:56:00.000Z;27185.78955078125;9738.97607421875
2016-12-08T15:56:10.000Z;null;null
2016-12-08T15:56:20.000Z;null;null
2016-12-08T15:56:30.000Z;null;null
2016-12-08T15:56:40.000Z;null;null
2016-12-08T15:56:50.000Z;null;null
2016-12-08T15:57:00.000Z;28134.683349609375;9725.791748046875
2016-12-08T15:57:10.000Z;null;null
2016-12-08T15:57:20.000Z;null;null
2016-12-08T15:57:30.000Z;null;null
2016-12-08T15:57:40.000Z;null;null
2016-12-08T15:57:50.000Z;null;null
2016-12-08T15:58:00.000Z;30026.62646484375;10877.0712890625
2016-12-08T15:58:10.000Z;null;null
2016-12-08T15:58:20.000Z;null;null
2016-12-08T15:58:30.000Z;null;null
2016-12-08T15:58:40.000Z;null;null
2016-12-08T15:58:50.000Z;null;null
2016-12-08T15:59:00.000Z;-731616.9453125;-7430490.369140625
2016-12-08T15:59:10.000Z;null;null
2016-12-08T15:59:20.000Z;null;null
2016-12-08T15:59:30.000Z;null;null
2016-12-08T15:59:40.000Z;null;null
2016-12-08T15:59:50.000Z;null;null
2016-12-08T16:00:00.000Z;26459.16423034668;7957.457702636719
2016-12-08T16:00:10.000Z;null;null
2016-12-08T16:00:20.000Z;null;null
2016-12-08T16:00:30.000Z;null;null
2016-12-08T16:00:40.000Z;null;null
2016-12-08T16:00:50.000Z;null;null
2016-12-08T16:01:00.000Z;27077.009365081787;8547.564487457275
2016-12-08T16:01:10.000Z;null;null
2016-12-08T16:01:20.000Z;null;null
2016-12-08T16:01:30.000Z;null;null
2016-12-08T16:01:40.000Z;null;null
2016-12-08T16:01:50.000Z;null;null
2016-12-08T16:02:00.000Z;29080.344549179077;9822.400299072266
2016-12-08T16:02:10.000Z;null;null
2016-12-08T16:02:20.000Z;null;null
2016-12-08T16:02:30.000Z;null;null
2016-12-08T16:02:40.000Z;null;null
2016-12-08T16:02:50.000Z;null;null
2016-12-08T16:03:00.000Z;27363.644233703613;8622.622486114502
2016-12-08T16:03:10.000Z;null;null
2016-12-08T16:03:20.000Z;null;null
2016-12-08T16:03:30.000Z;null;null
2016-12-08T16:03:40.000Z;null;null
2016-12-08T16:03:50.000Z;null;null
2016-12-08T16:04:00.000Z;25999.560382843018;7841.689315795898
2016-12-08T16:04:10.000Z;null;null
2016-12-08T16:04:20.000Z;null;null
2016-12-08T16:04:30.000Z;null;null
2016-12-08T16:04:40.000Z;null;null
2016-12-08T16:04:50.000Z;null;null
2016-12-08T16:05:00.000Z;28337.88134765625;18450.412994384766
2016-12-08T16:05:10.000Z;null;null
2016-12-08T16:05:20.000Z;null;null
2016-12-08T16:05:30.000Z;null;null
2016-12-08T16:05:40.000Z;null;null
2016-12-08T16:05:50.000Z;null;null
2016-12-08T16:06:00.000Z;29746.2071685791;31448.689849853516
